Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
ELL,ELL gene (11-19 lysine-rich leukemia gene),8178,19:18553473-18632937,1,Yes,13.11,yes,,AL,,,L,Dom,"TSG, fusion",T,KMT2A,,,"8178,C19orf17,ELL,ELL1,ENSG00000105656.8,Men,P55199,PPP1R68"
EP300,300 kd E1A-Binding protein gene,2033,22:41487790-41576081,1,Yes,13.2,yes,,"colorectal, breast, pancreatic, AML, ALL, DLBCL",,,"L, E",Rec,"TSG, fusion","T,  N, F, Mis, O","KMT2A, KAT6A",,,"2033,ENSG00000100393.9,EP300,KAT3B,Q09472,p300"
EPAS1,endothelial PAS domain protein 1,2034,2:46524541-46613836,1,Yes,21,yes,,"paraganglioma, pheochromocytoma, central nervous system hemangioblastomas",,,"E, M",Dom,"oncogene, TSG",Mis,,yes,type 3 familial erythrocytosis,"2034,ENSG00000116016.9,EPAS1,HIF2A,HLF,MOP2,PASD2,Q99814,bHLHe73"
EPS15,epidermal growth factor receptor pathway substrate 15 (AF1p),2060,1:51819935-51985000,1,Yes,32.3,yes,,ALL,,,L,Dom,"TSG, fusion",T,KMT2A,,,"2060,AF-1P,ENSG00000085832.12,EPS15,MLLT5,P42566"
ERBB4,erb-b2 receptor tyrosine kinase 4,2066,2:212240446-213403565,1,Yes,34,yes,yes,"melanoma, gastric, NSCLC",,,E,Dom,"oncogene, TSG","Mis, N",,yes,Amyotrophic lateral sclerosis 19,"2066,ALS19,ENSG00000178568.9,ERBB4,HER4,Q15303"
ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)",2068,19:45853095-45873876,1,Yes,13.32,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (D),E,Rec,TSG,"Mis, N, F, S",,,,"2068,EM9,ENSG00000104884.10,ERCC2,MAG,MGC102762,MGC126218,MGC126219,P18074,TFIIH,XPD"
ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,2:128014866-128051752,1,Yes,14.3,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (B),E,Rec,TSG,"Mis, S",,,,"2071,BTF2,ENSG00000163161.8,ERCC3,GTF2H,P19447,RAD25,TFIIH,XPB"
ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",2072,16:14014014-14046202,1,Yes,13.12,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (F),E,Rec,TSG,"Mis, N, F",,,,"2072,ENSG00000175595.10,ERCC4,FANCQ,Q92889,RAD1,XPF"
ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5 (xeroderma pigmentosum, complementation group G (Cockayne syndrome))",2073,13:103497194-103528345,1,Yes,33.1,,yes,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (G),E,Rec,TSG,"Mis, N, F",,,,"2073,ENSG00000134899.13,ERCC5,ERCM2,P28715,XPGC"
ESR1,estrogen receptor 1,2099,6:152011631-152424409,1,Yes,25.1,yes,,breast,,,E,Dom,"oncogene, TSG, fusion",Mis,,,,"2099,ENSG00000091831.17,ER-alpha,ESR,ESR1,Era,NR3A1,P03372"
ETNK1,ethanolamine kinase 1,55500,12:22778009-22843599,1,Yes,12.1,yes,,"aCML, CMML, SM-AHD, HES",,,L,Dom,TSG,Mis,,,,"55500,EKI,EKI1,ENSG00000139163.11,ETNK1,Q9HBU6"
ETV6,ets variant gene 6 (TEL oncogene),2120,12:11802788-12048336,1,Yes,13.2,yes,,"congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,,"L, E, M",Dom,"TSG, fusion",T,"NTRK3, RUNX1, PDGFRB, ABL1, MN1, ABL2, ACSL6, CHIC2, ARNT, JAK2, MECOM, CDX2, RNF217-AS1, MNX1, MDS2, PER1, SYK, TTL, FGFR3, PAX5",,,"2120,ENSG00000139083.6,ETV6,P41212,TEL"
EXT1,multiple exostoses type 1 gene,2131,8:118806729-119124092,1,,24.11,,yes,,"exostoses, osteosarcoma",multiple exostoses type 1,M,Rec,"TSG, fusion","Mis, N, F, S",,,,"2131,ENSG00000182197.6,EXT1,LGCR,LGS,Q16394,ttv"
EXT2,multiple exostoses type 2 gene,2132,11:44117747-44266979,1,,11.2,,yes,,"exostoses, osteosarcoma",multiple exostoses type 2,M,Rec,TSG,"Mis, N, F, S",,,,"2132,ENSG00000151348.9,EXT2,Q93063,SOTV"
EZH2,enhancer of zeste homolog 2,2146,7:148504477-148581370,1,,36.1,yes,,DLBCL,,,L,Dom,"oncogene, TSG",Mis,,,,"2146,ENSG00000106462.6,ENX-1,EZH1,EZH2,KMT6,KMT6A,Q15910"
FANCA,"Fanconi anemia, complementation group A",2175,16:89803957-89883054,1,,24.3,,yes,,"AML, leukaemia",Fanconi anaemia A,L,Rec,TSG,"D, Mis, N, F, S",,,,"2175,ENSG00000187741.10,FA-H,FAA,FACA,FAH,FANCA,FANCH,O15360"
FANCC,"Fanconi anemia, complementation group C",2176,9:97861336-98079984,1,,22.32,,yes,,"AML, leukaemia",Fanconi anaemia C,L,Rec,TSG,"D, Mis, N, F, S",,,,"2176,ENSG00000158169.7,FA3,FAC,FACC,FANCC,Q00597"
FANCD2,"Fanconi anemia, complementation group D2",2177,3:10068098-10141344,1,Yes,25.3,,yes,,"AML, leukaemia",Fanconi anaemia D2,L,Rec,TSG,"D, Mis, N, F",,,,"2177,ENSG00000144554.6,FA-D2,FACD,FAD,FANCD,FANCD2,Q9BXW9"
FANCE,"Fanconi anemia, complementation group E",2178,6:35420138-35434880,1,,21.31,,yes,,"AML, leukaemia",Fanconi anaemia E,L,Rec,TSG,"N, F, S",,,,"2178,ENSG00000112039.3,FACE,FAE,FANCE,Q9HB96"
FANCF,"Fanconi anemia, complementation group F",2188,11:22644079-22647387,1,,14.3,,yes,,"AML, leukaemia",Fanconi anaemia F,L,Rec,TSG,"N, F",,,,"2188,ENSG00000183161.3,FAF,FANCF,Q9NPI8"
FANCG,"Fanconi anemia, complementation group G",2189,9:35073835-35080013,1,,13.3,,yes,,"AML, leukaemia",Fanconi anaemia G,L,Rec,TSG,"Mis, N, F, S",,,,"2189,ENSG00000221829.5,FAG,FANCG,O15287,XRCC9"
FAS,Fas cell surface death receptor,355,10:90750414-90775542,1,Yes,23.31,yes,,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,,"L, E, O",Rec,TSG,Mis,,yes,Autoimmune lymphoproliferative syndrome,"355,APO-1,APT1,CD95,ENSG00000026103.15,FAS,FAS1,P25445,TNFRSF6"
FAT1,FAT atypical cadherin 1,2195,4:187508937-187645009,1,Yes,35.2,yes,yes,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,,"E, L",,TSG,"Mis, N, F, S",,,,"2195,CDHF7,CDHR8,ENSG00000083857.9,FAT,FAT1,Q14517"
FAT4,FAT atypical cadherin 4,79633,4:126237554-126414087,1,Yes,28.1,yes,,"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma",,,"E, L",,TSG,"Mis, N",,yes,"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2","79633,CDHF14,CDHR11,ENSG00000196159.7,FAT-J,FAT4,Q6V0I7"
FBLN2,fibulin 2,2199,3:13590631-13679922,2,,25.1,yes,,"breast cancer, colorectal adenocarcinoma",,,E,,TSG,"Mis, S",,,,"2199,ENSG00000163520.9,FBLN2,P98095"
FBXO11,F-box protein 11,80204,2:48034059-48132932,1,Yes,16.3,yes,,DLBCL,,,L,Rec,TSG,"Mis, F, D",,,,"80204,ENSG00000138081.15,FBX11,FBXO11,Q86XK2,UBR6"
FBXW7,"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)",55294,4:153242410-153457253,1,Yes,31.3,yes,,"colorectal, endometrial, T-ALL",,,"E, L",Rec,TSG,"Mis, N, D, F",,,,"55294,AGO,CDC4,ENSG00000109670.9,FBW7,FBX30,FBXW6,FBXW7,FLJ11071,Q969H0,SEL-10,SEL10"
FEN1,flap structure-specific endonuclease 1,2237,11:61560109-61564716,2,,12.2,,yes,,breast cancer,,E,,TSG,,,,,"2237,ENSG00000168496.3,FEN-1,FEN1,MF1,P39748,RAD2"
FES,"FES proto-oncogene, tyrosine kinase",2242,15:91427642-91439006,1,,26.1,yes,,"HNSCC, ovarian carcinoma",,,E,,"oncogene, TSG","Mis, F",,,,"2242,ENSG00000182511.7,FES,FPS,P07332"
FH,fumarate hydratase,2271,1:241660903-241683061,1,,43,,yes,,"leiomyomatosis, renal",hereditary leiomyomatosis and renal cell cancer,"E, M",Rec,TSG,"Mis, N, F",,,,"2271,ENSG00000091483.6,FH,P07954"
FHIT,fragile histidine triad gene,2272,3:59737133-61237133,1,Yes,14.2,yes,,pleomorphic salivary gland adenoma,,,E,Dom,"TSG, fusion",T,HMGA2,,,"2272,AP3Aase,ENSG00000189283.5,FHIT,FRA3B,P49789"
FLCN,folliculin,201163,17:17115526-17140453,1,,11.2,,yes,,"renal, fibrofolliculomas, trichodiscomas",Birt-Hogg-Dube syndrome,"E, M",Rec,TSG,"Mis. N, F",,,,"201163,BHD,ENSG00000154803.8,FLCN,MGC17998,MGC23445,Q8NFG4"
FOXL2,forkhead box L2,668,3:138663066-138665982,1,,22.3,yes,,granulosa-cell tumour of the ovary,,,O,Dom,"oncogene, TSG",Mis,,yes,"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III","668,BPES,BPES1,ENSG00000183770.5,FOXL2,P58012"
FOXO1,forkhead box O1,2308,13:41129804-41240734,1,,14.11,yes,,alveolar rhabdomyosarcoma,,,M,Dom,"oncogene, TSG, fusion",T,"PAX3, PAX7",,,"2308,ENSG00000150907.6,FKH1,FKHR,FOXO1,FOXO1A,Q12778"
FOXO3,forkhead box O3,2309,6:108882069-109005971,1,,21,yes,,AL,,,L,Dom,"oncogene, TSG, fusion",T,KMT2A,,,"2309,AF6q21,ENSG00000118689.10,FKHRL1,FOXO2,FOXO3,FOXO3A,O43524"
FOXO4,forkhead box O4,4303,X:70316047-70323385,1,,13.1,yes,,"AL, soft tissue sarcoma",,,"L, M",Dom,"oncogene, TSG, fusion",T,"KMT2A, CIC",,,"4303,AFX1,ENSG00000184481.12,FOXO4,MLLT7,P98177"
FUS,"fusion, derived from t(12;16) malignant liposarcoma",2521,16:31191431-31203127,1,Yes,11.2,yes,,"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma",,,"M, L",Dom,"TSG, fusion",T,"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2",,,"2521,ALS6,ENSG00000089280.14,FUS,FUS1,HNRNPP2,P35637,TLS,hnRNP-P2"
GATA1,GATA binding protein 1 (globin transcription factor 1),2623,X:48644962-48652715,1,,11.23,yes,,megakaryoblastic leukaemia of Downs syndrome,,,L,Dom,"oncogene, TSG","Mis, F",,,,"2623,ENSG00000102145.9,ERYF1,GATA-1,GATA1,GF1,NF-E1,NFE1,P15976"
GATA3,GATA binding protein 3,2625,10:8096656-8117161,1,,14,yes,,breast,,,E,Rec,"oncogene, TSG","F, N, S",,yes,"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)","2625,ENSG00000107485.11,GATA3,HDR,P23771"
GPC3,glypican 3,2719,X:132669782-133119673,1,Yes,26.2,,yes,,Wilms tumour,Simpson-Golabi-Behmel syndrome,O,Rec/X,"oncogene, TSG","D, Mis, N, F, S",,,,"2719,DGSX,ENSG00000147257.9,GPC3,OCI-5,P51654,SDYS,SGB,SGBS,SGBS1"
GPC5,glypican 5,2262,13:92050929-93519490,2,,31.3,yes,,lung adenocarcinoma,,,E,,TSG,D,,,,"2262,ENSG00000179399.9,GPC5,P78333"
GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",2903,16:9852376-10276611,1,Yes,13.2,yes,,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",,,E,Rec,TSG,"Mis, N, F, O",,yes,Focal epilepsy and speech disorder with or without mental retardation,"2903,ENSG00000183454.9,GRIN2A,GluN2A,NMDAR2A,Q12879"
HNF1A,HNF1 homeobox A,6927,12:121416346-121440315,1,Yes,24.31,yes,yes,"hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma",familial hepatic adenoma,E,Rec,TSG,"Mis, F",,yes,"Maturity-onset diabetes of the young, TYPE III","6927,ENSG00000135100.13,HNF1,HNF1A,LFB1,MODY3,TCF1"
HOXA11,homeo box A11,3207,7:27221134-27224835,1,Yes,15.2,yes,,CML,,,L,Dom,"oncogene, TSG, fusion",T,NUP98,,,"3207,ENSG00000005073.5,HOX1,HOX1I,HOXA11,P31270"
HOXA9,homeo box A9,3205,7:27202054-27205149,1,,15.2,yes,,AML*,,,L,Dom,"oncogene, TSG, fusion",T,"NUP98, MSI2",,,"3205,ENSG00000078399.11,HOX1,HOX1G,HOXA9,P31269"
ID3,"inhibitor of DNA binding 3, HLH protein",3399,1:23884409-23886285,2,,36.12,yes,,Burkitt lymphoma,,,L,,TSG,"Mis, N",,,,"3399,ENSG00000117318.8,HEIR-1,ID3,Q02535,bHLHb25"
IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,10644,3:185361527-185542844,2,,27.2,yes,,lymphoma,,,L,,TSG,D,,yes,"Diabetes mellitus, noninsulin-dependent, susceptibility","10644,ENSG00000073792.11,IGF2BP2,IMP-2,Q9Y6M1"
IKZF1,IKAROS family zinc finger 1,10320,7:50348318-50470264,1,,12.2,yes,,"ALL, DLBCL",,,L,Dom/Rec,"TSG, fusion","D,T",BCL6,,,"10320,ENSG00000185811.12,Hs.54452,IKAROS,IKZF1,LyF-1,PPP1R92,Q13422,ZNFN1A1,hIk-1"
IRF4,interferon regulatory factor 4,3662,6:391739-411447,1,,25.3,yes,,MM,,,L,Dom,"oncogene, TSG, fusion",T,IGH,,,"3662,ENSG00000137265.10,IRF4,LSIRF,MUM1,Q15306"
IRS4,insulin receptor substrate 4,8471,X:107975712-107979651,1,,22.3,yes,,"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL",,,"E, O, M, L",,"oncogene, TSG","Mis, F, T",TRB,,,"8471,ENSG00000133124.10,IRS-4,IRS4,O14654,PY160"
JAK1,Janus kinase 1,3716,1:65298912-65432187,1,Yes,31.3,yes,,ALL,,,L,Dom,"oncogene, TSG",Mis,,,,"3716,ENSG00000162434.7,JAK1,JAK1A,JAK1B,JTK3,P23458"
KAT6B,K(lysine) acetyltransferase 6B,23522,10:76586383-76792380,1,,22.2,yes,,"AML, leiomyoma",,,"L, M",Dom,"TSG, fusion",T,"CREBBP, KANSL1",,"Genitopatellar syndrome, Say-Barber-Biesecker/Young-Simpson syndrome","23522,ENSG00000156650.8,KAT6B,MOZ2,MYST4,Morf,Q8WYB5,ZC2HC6B,qkf,querkopf"
KDM5C,lysine (K)-specific demethylase 5C (JARID1C),8242,X:53221334-53254604,1,,11.22,yes,,clear cell renal carcinoma,,,E,Rec,TSG,"N, F, S, Mis",,yes, X-linked mental retardation syndromic Claes-Jensen-type.,"8242,DXS1272E,ENSG00000126012.7,JARID1C,KDM5C,MRX13,P41229,SMCX,XE169"
KDM6A,"lysine (K)-specific demethylase 6A, UTX",7403,X:44732757-44971847,1,Yes,11.3,yes,,"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,,"E, L",Rec,"oncogene, TSG","D, N, F, S",,yes,Kabuki syndrome,"7403,ENSG00000147050.10,KDM6A,O15550,UTX"
KEAP1,kelch like ECH associated protein 1,9817,19:10596796-10614417,1,Yes,13.2,yes,,"NSCLC, breast carcinoma",,,E,,TSG,"Mis, N, F",,,,"9817,ENSG00000079999.9,INrf2,KEAP1,KIAA0132,KLHL19,MGC10630,MGC1114,MGC20887,MGC4407,MGC9454,Q14145"
KLF4,Kruppel-like factor 4,9314,9:110247133-110251927,1,Yes,31.2,yes,,meningioma,,,O,Dom,"oncogene, TSG",Mis,,,,"9314,ENSG00000136826.10,EZF,GKLF,KLF4,O43474"
KLF6,Kruppel-like factor 6,1316,10:3818188-3827467,1,,15.1,yes,,"prostate, glioma",,,"E, O",Rec,TSG,"Mis, N",,,,"1316,BCD1,COPEB,CPBP,ENSG00000067082.10,GBF,KLF6,PAC1,Q99612,ST12,Zf9"
KMT2C,lysine (K)-specific methyltransferase 2C,58508,7:151832010-152133090,1,Yes,36.1,yes,,medulloblastoma,,,O,Rec,TSG,N,,,,"58508,ENSG00000055609.13,HALR,KIAA1506,KMT2C,MLL3,Q8NEZ4"
KMT2D,lysine (K)-specific methyltransferase 2D,8085,12:49412758-49449107,1,Yes,13.12,yes,,"medulloblastoma, renal",,,"O, E",Rec,"oncogene, TSG","N, F, Mis",,,,"8085,ALR,CAGL114,ENSG00000167548.10,KMT2D,MLL2,MLL4,O14686,TNRC21"
KNL1,cancer susceptibility candidate 5,57082,15:40886218-40956540,1,Yes,15.1,yes,,AML,,,L,Dom,"TSG, fusion",T,KMT2A,,,"57082,AF15Q14,CASC5,CT29,D40,ENSG00000137812.15,KIAA1570,KNL1,MCPH4,PPP1R55,Q8NG31,Spc7,hKNL-1,hSpc105"
LARP4B,La ribonucleoprotein domain family member 4B,23185,10:855484-931702,2,,15.3,yes,,"CRC, glioma",,,"E, O",,TSG,"F, D",,,,"23185,ENSG00000107929.10,KIAA0217,LARP4B,LARP5,Q92615"
LATS1,large tumor suppressor kinase 1,9113,6:149979289-150039392,1,Yes,25.1,yes,,skin basal cell carcinoma,,,E,,TSG,"Mis, N",,,,"9113,ENSG00000131023.8,LATS1,O95835,WARTS"
LATS2,large tumor suppressor kinase 2,26524,13:21547171-21635686,1,Yes,12.11,yes,,malignant mesothelioma,,,E,,TSG,"D, F, N",,,,"26524,ENSG00000150457.7,LATS2,Q9NRM7"
LEF1,lymphoid enhancer binding factor 1,51176,4:108968701-109089578,1,Yes,25,yes,,"B-ALL, T-ALL, eyelid sebaceous carcinoma, AML, lymphomas",,,"L, E",,"oncogene, TSG","Mis, N",,,,"51176,ENSG00000138795.5,LEF1,Q9UJU2,TCF10,TCF1ALPHA,TCF7L3"
LEPROTL1,leptin receptor overlapping transcript like 1,23484,8:29952996-29995864,2,,12,yes,,"lung cancer, colon cancer",,,E,,TSG,D,,,,"23484,ENSG00000104660.13,LEPROTL1,O95214,Vps55,my047"
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,121227,12:59265931-59314303,1,,14.1,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,,,"121227,ENSG00000139263.7,FLJ90440,KIAA3016,LRIG3,Q6UXM1"
LRP1B,LDL receptor related protein 1B,53353,2:140988992-142889270,1,Yes,22.2,yes,,"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer",,,"E, L",Rec,TSG,"D, Mis, N, F",,,,"53353,ENSG00000168702.12,LRP-DIT,LRP1B,LRPDIT,Q9NZR2"
LZTR1,leucine-zipper-like transcription regulator 1,8216,22:21336302-21353327,1,Yes,11.21,yes,yes,glioblastoma,"glioblastoma, schwannoma",Schwannomatosis-2,E,Dom,TSG,"Mis, F, N",,yes,Noonan syndrome 10,"8216,BTBD29,ENSG00000099949.14,LZTR-1,LZTR1,Q8N653"
MALAT1,"metastasis associated lung adenocarcinoma transcript 1 ( lnc-RNA; non-protein coding)",378938,11:65265233-65273940,2,,13.1,yes,,"renal cell carcinoma (childhood epithelioid), lung",,,E,Dom,"oncogene, TSG, fusion",T,TFEB,,,
MAP2K4,mitogen-activated protein kinase kinase 4,6416,17:11924141-12047140,1,,12,yes,,"pancreatic, breast, colorectal",,,E,Rec,"oncogene, TSG","D, Mis, N",,,,"6416,ENSG00000065559.10,JNKK1,MAP2K4,MEK4,MKK4,P45985,PRKMK4,SERK1"
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",4214,5:56111401-56191979,1,,11.2,yes,,luminal A breast,,,E,Rec,"oncogene, TSG","N, F, Mis, O, S",,yes,"46,XY sex reversal 6","4214,ENSG00000095015.5,MAP3K1,MAPKKK1,MEKK,MEKK1,Q13233"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,3:185080908-185206885,1,Yes,27.2,yes,,breast,,,E,Rec,"oncogene, TSG",F,,,,"9175,ENSG00000073803.9,LZK,MAP3K13,MEKK13,O43283"
MAX,Myc associated factor X,4149,14:65542262-65569188,1,,23.3,yes,yes,"pheochromocytoma, endometrioid carcinoma, colon carcinoma",pheochromocytoma,,"E, O",Rec,TSG,"Mis, N, F",,,,"4149,ENSG00000125952.14,MAX,P61244,bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8"
MED12,mediator complex subunit 12,9968,X:70338573-70362297,1,Yes,13.1,yes,,"uterine leiomyoma, fibroadenoma, phyllodes tumour",,,"M, E",Dom,TSG,"Mis, S, O",,yes,Opitz-Kaveggia Syndrome,"9968,CAGH45,ENSG00000184634.11,FGS1,HOPA,KIAA0192,MED12,OKS,OPA1,Q93074,TNRC11,TRAP230"
MEN1,multiple endocrine neoplasia type 1 gene,4221,11:64570996-64578766,1,Yes,13.1,yes,yes,"parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid",multiple endocrine neoplasia type 1,E,Rec,TSG,"D, Mis, N, F, S",,,,"4221,ENSG00000133895.10,MEN1,O00255"
MGMT,O-6-methylguanine-DNA methyltransferase,4255,10:131265448-131566271,2,,26.3,yes,,glioma,,,O,,TSG,D,,,,"4255,ENSG00000170430.9,MGMT,P16455"
MLF1,myeloid leukemia factor 1,4291,3:158289049-158323190,1,,25.32,yes,,AML,,,L,Dom,"TSG, fusion",T,NPM1,,,"4291,ENSG00000178053.13,MLF1,P58340"
MLH1,E.coli MutL homolog gene,4292,3:37034823-37092409,1,,22.2,yes,yes,"colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O",Rec,TSG,"D, Mis, N, F, S",,,,"4292,COCA2,ENSG00000076242.10,FCC2,HNPCC,HNPCC2,MLH1,P40692"
MRTFA,megakaryoblastic leukemia (translocation) 1,57591,22:40806285-41032689,1,,13.2,yes,,acute megakaryocytic leukaemia,,,L,Dom,"oncogene, TSG, fusion",T,RBM15,,,"57591,BSAC,ENSG00000196588.10,KIAA1438,MAL,MKL,MKL1,MRTF-A,MRTFA,Q969V6"
MSH2,mutS homolog 2 (E. coli),4436,2:47630108-47710367,1,,21,yes,yes,"colorectal, endometrial, ovarian","colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,"4436,COCA1,ENSG00000095002.8,HNPCC,HNPCC1,MSH2,P43246"
MSH6,mutS homolog 6 (E. coli),2956,2:48010221-48037240,1,,16.3,yes,yes,colorectal,"colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,TSG,"Mis, N, F, S",,,,"2956,ENSG00000116062.10,GTBP,MSH6,P52701"
MUTYH,mutY homolog (E. coli),4595,1:45794914-45806060,1,,34.1,,yes,,colorectal,adenomatous polyposis coli,E,Rec,TSG,Mis,,,,"4595,ENSG00000132781.13,MUTYH,MYH,Q9UIF7"
MYH9,"myosin, heavy polypeptide 9, non-muscle",4627,22:36677327-36784063,1,,12.3,yes,,ALCL,,,L,Dom,"TSG, fusion",T,ALK,yes,"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome","4627,DFNA17,ENSG00000100345.16,EPSTS,FTNS,MHA,MYH9,NMHC-II-A,NMMHCA,P35579"
N4BP2,NEDD4 binding protein 2,55728,4:40058446-40159872,2,,14,yes,,lung cancer,,,E,,TSG,D,,,,"55728,B3BP,ENSG00000078177.9,N4BP2,Q86UW6"
NAB2,NGFI-A binding protein 2,4665,12:57482677-57489259,1,Yes,13.3,yes,,"solitary fibrous tumour, meningeal haemangiopericytoma",,,"M, O",Dom,"TSG, fusion",T,STAT6,,,"4665,ENSG00000166886.8,MADER,NAB2,Q15742"
NBN,nibrin,4683,8:90945564-90996944,1,,21.3,,yes,,"NHL, glioma, medulloblastoma, rhabdomyosarcoma",Nijmegen breakage syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F",,,,"4683,AT-V1,AT-V2,ATV,ENSG00000104320.9,NBN,NBS,NBS1,O60934"
NCOA4,nuclear receptor coactivator 4 - PTC3 (ELE1),8031,10:51565108-51590731,1,,11.23,yes,,papillary thyroid,,,E,Dom,"TSG, fusion",T,RET,,,"8031,ARA70,DKFZp762E1112,ELE1,ENSG00000138293.15,NCOA4,PTC3,Q13772,RFG"
NCOR1,nuclear receptor corepressor 1,9611,17:15932471-16118863,1,,12,yes,,breast,,,E,Rec,TSG,"Mis, F, N, O",,yes,Ulnar-mammary syndrome,"9611,ENSG00000141027.16,KIAA1047,MGC104216,N-CoR,NCOR1,O75376,PPP1R109,TRAC1,hCIT529I10,hN-CoR"
NCOR2,nuclear receptor corepressor 2,9612,12:124808961-124979798,1,Yes,24.31,yes,,prostate,,,E,Dom,TSG,"Mis, F, N, O",,,,"9612,CTG26,ENSG00000196498.9,NCOR2,SMRT,SMRTE,TNRC14,TRAC-1"
NDRG1,N-myc downstream regulated 1,10397,8:134249419-134309829,1,Yes,24.22,yes,,prostate,,,E,Dom,"TSG, fusion",T,ERG,,,"10397,CAP43,DRG1,ENSG00000104419.10,NDR1,NDRG1,Q92597,RTP,TDD5"
NF1,neurofibromatosis type 1 gene,4763,17:29421945-29704695,1,Yes,11.2,yes,yes,"neurofibroma, glioma","neurofibroma, glioma",neurofibromatosis type 1,O,Rec,"TSG, fusion","D, Mis, N, F, S, O",,,,"4763,ENSG00000196712.12,NF1,P21359"
NF2,neurofibromatosis type 2 gene,4771,22:29999547-30094587,1,Yes,12.2,yes,yes,"meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma",neurofibromatosis type 2,O,Rec,TSG,"D, Mis, N, F, S, O",,,,"4771,ACN,BANF,ENSG00000186575.13,NF2,P35240,SCH,merlin"
NFE2L2,nuclear factor (erythroid-derived 2)-like 2 (NRF2),4780,2:178095033-178129859,1,Yes,31.2,yes,,"NSCLC, HNSCC",,,E,Dom,"oncogene, TSG",Mis,,,,"4780,ENSG00000116044.11,NFE2L2,NRF2,Q16236"
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,10:104154354-104162281,1,,24.32,yes,,B-NHL,,,L,Dom,"oncogene, TSG, fusion",T,IGH,,,"4791,ENSG00000077150.13,LYT-10,NF-kB2,NFKB2,Q00653,p105,p49/p100,p52"
NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",4794,6:44225903-44233500,1,,21.1,yes,,"CLL, desmoplastic melanoma",,,"L, E",Dom/Rec,TSG,"F, Mis",,,,"4794,ENSG00000146232.10,IKBE,NFKBIE,O00221"
NKX2-1,NK2 homeobox 1,7080,14:36985602-36989433,1,,13.3,yes,,NSCLC,,,E,Dom,"oncogene, TSG",A,,,,"7080,BCH,ENSG00000136352.13,NKX2-1,NKX2A,P43699,TITF1,TTF-1,TTF1"
